ID;Control;Caption1;Caption2;Drawing artist;Copyright;Author1;Author2;Author3;Author4;Year;Title;Journal;Volume;Field0;ControlPublication
1;Fig. 1 Aphelandra gigantiflora Lindau, Acanthaceae;"A: rama con inflorescencia; B: flor y bráctea floral; C: fruto.";Dibujado según R. Villacorta 503 (LAGU).;José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
2;Fig. 2 Sanchezia parvibracteata Sprague & Hutch., Acanthaceae;"A: rama con hojas e inflorescencia en desarrollo; B: flor.";"A según V. M. Martínez [CMC00415] (LAGU); B según W. Berendsohn 9 (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
3;Fig. 3 Saurauia kegeliana Schltdl., Actinidiaceae;"A: rama con inflorescencia; B: flor; C: fruto; D: haz de hoja; E: envés de hoja.";"A, B, D, E según R. Villacorta & M. Fuentes 2257 (LAGU); C según J. Jurado s.n. [JBL00043] (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
4;Fig. 4 Saurauia selerorum Buscal., Actinidiaceae;"A: rama con hojas e inflorescencia; B: flor; C: fruto; D: envés de hoja, E: haz de hoja (margen).";"A, C, D, E según M. Smeets & M. G. Mancia MART 236 [MAG00236] (LAGU); B según R. A. Carballo & al. 98 (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
5;Fig. 5 Iresine angustifolia Euphrasén, Amaranthaceae;"A: rama con inflorescencias; B: flor; C: fruto; D: inflorescencia.";Dibujado según R. Villacorta & L. Lara 2532 (LAGU).;José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
6;Fig. 6 Iresine arbuscula Uline & W.L.Bray, Amaranthaceae;"A: rama con hojas e inflorescencia; B: flor; C: fruto.";Dibujado según E. Sandoval & F. Chinchilla 172 (LAGU).;José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
7;Fig. 7 Astronium graveolens Jacq., Anacardiaceae;"A: rama con hojas; B: flor estaminada; C: flor pistilada; D: infrutescencia; E: fruto.";Dibujado según E. Sandoval & F. Chinchilla 323 (LAGU).;José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
8;Fig. 8 Rhus terebinthifolia Schltdl. & Cham., Anacardiaceae;"A: rama con hojas e inflorescencias; B: parte de inflorescencia; C: flor; D: fruto; E: envés de hoja.";"A, B, C, E según D. Sloot & A. Reina 246 [MAG00675] (LAGU); D según J. Monterrosa & R. A. Carballo 483 [JMS00483] (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
9;Fig. 9 Annona holosericea Saff., Annonaceae;"A: rama con hojas y fruto; B: flor; C: envés de hoja.";"A, C según J. C. González 255 (LAGU); B según M. A. Martínez s.n. [JCG00552] (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
10;Fig. 10 Cymbopetalum penduliflorum (Dunal) Baill., Annonaceae;"A: rama con hojas, flor abierta y en botón; B: frutos.";"A según E. Sandoval & F. Chinchilla 320 (LAGU); B según M. Renderos & al. 756 (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
