This file includes all known homonyms that should not be considered as name matches
nameCache;author1;author2
Aceras;R. Br.;Locard, 1886
Achlya;Nees;Billberg, 1820
Acanthococcus;Targioni Tozzetti, 1868;J.D.Hooker & Harvey, 1845
Acanthococcus granulatus;(Green, 1931);Reinsch, 1886
Acanthodiscus;Volkmer-Ribeiro, 1996;MacCallum, 1916 (nec 1918)
Acosta;Adans.;Özdikmen, 2012
Actaea;L.;De Haan, 1833
Actidium;Fr.;Matthews, 1868
Actinonema;Pers.;Cobb, 1920
Agardhiella;P. Hesse, 1923;F.Schmitz, 1897
Agaricomycetidae;Parmasto;Locq., 1984
Alaria;Schrank, 1788;Greville, 1830
Alexia;Stephens, 1833;Leach, 1847
Alloionema;Schneider, 1859;Hartlaub, 1909
Amaryllis;L.;Haswell, 1879
Amphinema;P. Karst.;Haeckel, 1879
Amphinome;Meigen, 1800;Bruguière, 1789
Amphorella;R.T. Lowe, 1852;Daday, 1887
Anapus;Stål, 1858;Bergendal, 1892
Anchinia;Hübner, 1825;Rathke, 1835
Anisonema;A. Juss.;Dujardin, 1841
Anisoxya;Mulsant, 1856;Topsent, 1898
Anomia;Fieber, 1866;Linnaeus, 1758
Anomia tridentata;Edwards, 1928;Forsskål, 1775
Anura;;Bellardi, 1873;Order;Genus
Antennaria;Link;Gaertn.
Antennularia;Rchb.;Lamarck, 1816
Anthelia;(Dumort.) Dumort.;Lamarck, 1816
Apogon;Rondani, 1856;Lacepède, 1801
Arenaria;L.;Brisson, 1760
Argentina;Hill;Linnaeus, 1758
Ariadna;Audouin, 1826;P. Fischer, 1864
Aricia;Reichenbach, 1817;Savigny, 1822
Aricia;Reichenbach, 1817;J. E. Gray, 1837
Arum;L.;Vigurs, 1850
Ascaris;Linnaeus, 1758;auct, non-Linnaeus, 1758
Ascoidea;Bref.;
Ascophora;Findeneck, 1924;Levinsen, 1909
Asterina;Lév.;Nardo, 1834
Asteriscus;Mill.;Müller & Troschel, 1842
Asterodon;Pat.;Perrier, 1891
Asterothrix;Cass.;Kützing, 1843
Atractylis;L.;Wright, 1858
Atriplex laciniata;L.;H. J. Coste
Aulacophora;Dejean, 1836;Jeffreys, 1882
Aurelia;J. Gay;Lamarck, 1816
Aureliania;Fain, 1958;Gosse, 1860
Autonoe;(Webb & Berthel.) Speta;Bruzelius, 1859
Axia;Hübner, 1821;Luther, 1955
Axia;Hübner, 1821;Ferguson, 1954Bartramia;Hedw.;Lesson, 1831
Bassia;All.;L. Agassiz, 1862
Berenice;Salisb.;Péron & Lesueur, 1810
Beauchampiella;Remane, 1929;Luther, 1955
Bicellaria;Macquart, 1823;de Blainville, 1830
Biota;(D. Don) Endl.;
Bohadschia;Crantz;Hrabe, 1971
Boscia;J. St.-Hil.;Férussac, 1822
Brachypoda;Lebert, 1879;Birshteyn, 1960
Branchiura;Beddard, 1892;Thorell, 1864
Branchiura;;Beddard, 1892;Subclass;Genus
Bremia;Regel;Rondani, 1860
Buchneria;Verhoeff, 1941;Harmer, 1957
Bugula;Mill.;Oken, 1815
Bulgariella;P. Karst.;Karaman, 1958
Bursa;Boehm.;Röding, 1798
Callianassa;Webb & Berthel.;Leach, 1814
Callitriche;Agassiz, 1848;L.
Calycella;(Sacc.) Sacc.;Allman, 1864
Calycella;(Sacc.) Sacc.;Hincks, 1864 in Allman, 1864
Calycina;Nees ex Gray;Gregory, 1900
Campanopsis;(R. Br.) Kuntze;Claus, 1881
Candelabrum;Beverw.;de Blainville, 1830
Candidella;Hausdorf, 1990;Bayer, 1954
Capillaria;Haworth, 1828;Zeder, 1800
Capsella;Medik.;J. E. Gray, 1851
Carteria;Kieffer, 1921;Diesing, 1866
Castalia;Gory & Laporte, 1837;Savigny, 1822
Castalia;Laporte & Gory, 1837;Savigny, 1822
Castalia;Salisb.;Savigny, 1822
Catenula;Duges, 1832;C. Mereschkowsky, 1903
Cavernularia;Degel.;Valenciennes in Milne Edwards & Haime, 1850
Cellularia;;Pallas, 1766;Subphylum;Genus
Cenia;Juss.;Alder & Hancock, 1848
Ceratina;Latreille, 1802;Goës, 1894
Ceratocephala;Moench;[misspelling of Ceratocephale]
Cereus;Mill.;Ilmoni, 1830
Ceroctena;Rondani, 1856;C. Carré & D. Carré, 1991
Chaetophora;Kirby & Spence, 1823;F.Schrank, 1783
Chaetosiphon;Mordvilko, 1914;Huber, 1893
Chaetura;Metschnikoff, 1865;Stephens in Shaw, 1826
Charybdis;Speta;De Haan, 1833
Chauliodus;Treitschke, 1833;Bloch & Schneider, 1801
Chimaera;Ochsenheimer, 1808;Linnaeus, 1758
Chione;Salisb.;J. E. Gray, 1838
Chione;Salisb.;Megerle von Mühlfeld, 1811
Chondrilla;L.;Schmidt, 1862
Chondrus;Cuvier, 1817;Stackhouse, 1797
Chromadorina;;Filipjev, 1918;Suborder;Genus
Chromadorina;Filipjev, 1918;Filipjev, 1929;Genus;Suborder
Cirillia;Rondani, 1856;Monterosato, 1884
Cladorhiza;Raf.;Sars, 1872
Clathrus;P. Micheli ex L.;Agassiz, 1837
Clausia;(Stephan) Korn.-Trotzky;Boeck, 1865
Clausia;(Stephan) Korn.-Trotzky;Claparède, 1863
Clavulina;J. Schröt.;d'Orbigny, 1826
Coleophora;Hübner, 1822;Steinbock, 1932
Colus;Cavalier & Séchier;Röding, 1798
Coniophora;DC.;Nijveldt, 1959
Conocephalus;Thunberg, 1815;Diesing, 1860
Contarinia;Rondani, 1860;Zanardini, 1843
Coprobia;Boud.;Lioy, 1864
Corbicula;Megerle von Muhlfeld, 1811;Meunier
Cordylophorinae;;von Lendenfeld, 1885;Subfamily;Genus
Coris;L.;Lacepède, 1801
Corticium;Pers.;Schmidt, 1862
Coronilla;L.;van Beneden, 1871
Coryne;Nees;Gaertner, 1774
Crambe;L.;Vosmaer, 1880
Crepis;L.;Jullien, 1882
Cressa;L.;Boeck, 1871
Crumenula;Rehm;Dujardin, 1836
Cryptella;Webb & Berthelot, 1833;Jullien, 1903
Cryptococcus;Vuill.;Douglas, 1890
Cryptodiscus;Corda;Fisch. & C. A. Mey.
Ctenophora;Meigen, 1803;Eschscholtz, 1829
Ctenophora;Meigen, 1803;(Grunow) D.M.Williams & Round, 1986
Culcita;C. Presl;Agassiz, 1836
Cupularia;Godr. & Gren.;de Blainville, 1830
Cuspidaria;Link;Nardo, 1840
Cuspidaria;(DC.) Besser;Nardo, 1840
Cyclops;Muller, 1785;Montfort, 1810
Cyclotrichium;(Boiss.) Manden. & Scheng.;Meunier, 1910
Cymatocarpus;O. E. Schulz;Looss, 1899
Cymodocea;K. D. Koenig;Leach, 1814
Cytherea;Salisb.;Röding, 1798
Cytherea;Salisb.;Lamarck, 1805
Desmophyllum;Webb & Berthel.;Ehrenberg, 1834
Digenea;;C.Agardh, 1822;Subclass;Genus
Digitaria;Haller;S. V. Wood, 1853
Dilophus;Meigen, 1803;J.Agardh, 1882
Discina;(Fr.) Fr.;Lamarck, 1819
Discula;Sacc.;R.T. Lowe, 1852
Duplicaria;Fuckel;Vine, 1972
Echinacea;Moench;Claus, 1876
Echinella;Mamaev, 1965;Acharius in F. Weber & D. Mohr, 1810
Elachista;Treitschke, 1833;Duby, 1830
Ellisiella;Bretfeld, 1999;Norris, 1965
Entomophaga;A. Batko;Lioy, 1864
Ephemera;Linnaeus, 1758;T.B.B. Paddock, 1988
Euthyneura;Macquart, 1836;Spengel, 1881
Fabricia;Adans.;Blainville, 1828
Ficus;L.;Röding, 1798
